50kb_bin_center,YPD,HU,RM
25.,0.7499371687077316,0.7312404287901991,0.7457370215990906
75.,0.15964860171815023,0.14012251148545177,0.1530882910193255
125.,0.05350941326996893,0.05359877488514548,0.05646078059871163
175.,0.02169964357521477,0.033690658499234305,0.021599090564607806
225.,0.008453664777919942,0.013016845329249618,0.009852216748768473
275.,0.003918387863279108,0.008422664624808576,0.004547176960970065
325.,0.0017078687625662584,0.009188361408882083,0.0011367942402425162
375.,0.0006111771157009687,0.0015313935681470138,0.002652519893899204
425.,0.0003655638822884299,0.0015313935681470138,0.0011367942402425162
475.,0.00010281484189362091,0.0030627871362940277,0.0015157256536566881
525.,0.000034271613964540305,0.0015313935681470138,0.0015157256536566881
575.,0.,0.0007656967840735069,0.
625.,0.000011423871321513434,0.0015313935681470138,0.00037893141341417203
675.,0.,0.,0.00037893141341417203
725.,0.,0.,0.
775.,0.,0.,0.
825.,0.,0.,0.
875.,0.,0.,0.
925.,0.,0.0007656967840735069,0.
975.,0.,0.,0.
1025.,0.,0.,0.
1075.,0.,0.,0.
1125.,0.,0.,0.
1175.,0.,0.,0.
1225.,0.,0.,0.
1275.,0.,0.,0.
1325.,0.,0.,0.
1375.,0.,0.,0.
1425.,0.,0.,0.
1475.,0.,0.,0.